"#";"country";"family";"name";"shape";"h";"t_web";"b_upper";"t_upper";"b_lower";"t_lower";"r";"ex";"ey";"ez";"zs";"A";"A_y";"A_z";"Iy";"Wy_u";"Wy_l";"Wply";"i_y";"Iz";"Wz";"Wplz";"i_z";"It";"Wt";"Cw";"alpha_y";"alpha_z";"alpha_lt";"Product"
"#";"-";"-";"-";"-";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"cm";"cm";"cm";"cm";"cm2";"cm2";"cm2";"cm4";"cm3";"cm3";"cm3";"cm";"cm4";"cm3";"cm3";"cm";"cm4";"cm3";"cm6";"-";"-";"-";"-"
;"Japan";"FL";"FL 28x150";"V";28;0;150;0;150;0;0;0;0;0;1.4;42.00000000000001;35;35;27.44;-19.6;19.6;29.4;0.808290377;787.5;-105;157.5;4.330127019;96.85222527;34.59008045;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 28x180";"V";28;0;180;0;180;0;0;0;0;0;1.4;50.4;42.00000000000001;42.00000000000001;32.928;-23.52;23.52;35.28;0.808290377;1360.8;-151.2;226.8;5.196152423;118.804224;42.43008002;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 28x200";"V";28;0;200;0;200;0;0;0;0;0;1.4;56;46.66666667;46.66666667;36.58666667;-26.13333333;26.13333333;39.2;0.808290377;1866.666667;-186.6666667;280;5.773502692;133.4388907;47.65674667;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 28x230";"V";28;0;230;0;230;0;0;0;0;0;1.4;64.4;53.66666667;53.66666667;42.07466667;-30.05333333;30.05333333;45.08;0.808290377;2838.966667;-246.8666667;370.3;6.639528095999999;155.3908907;55.49674667;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 28x250";"V";28;0;250;0;250;0;0;0;0;0;1.4;70;58.33333333;58.33333333;45.73333333;-32.66666667;32.66666667;49;0.808290377;3645.8333330000005;-291.6666667;437.5;7.2168783649999995;170.0255573;60.72341333;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 28x280";"V";28;0;280;0;280;0;0;0;0;0;1.4;78.4;65.33333333;65.33333333;51.22133333;-36.58666667;36.58666667;54.88;0.808290377;5122.133333;-365.8666667;548.8;8.082903769;191.9775573;68.56341333;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 28x300";"V";28;0;300;0;300;0;0;0;0;0;1.4;84.00000000000001;70;70;54.88;-39.2;39.2;58.8;0.808290377;6300;-420;630;8.660254038;206.61222400000003;73.79008;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x100";"V";32;0;100;0;100;0;0;0;0;0;1.6;32;26.66666667;26.66666667;27.306666669999995;-17.06666667;17.06666667;25.6;0.9237604310000002;266.6666667;-53.33333333;80;2.886751346;87.20897033;27.25280323;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x125";"V";32;0;125;0;125;0;0;0;0;0;1.6;40;33.33333333;33.33333333;34.13333333;-21.33333333;21.33333333;32;0.9237604310000002;520.8333333;-83.33333333;125.00000000000001;3.6084391819999997;114.5134435;35.7854511;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x150";"V";32;0;150;0;150;0;0;0;0;0;1.6;48;40;40;40.96;-25.6;25.6;38.4;0.9237604310000002;900;-120;180;4.330127019;141.8199217;44.31872554;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x180";"V";32;0;180;0;180;0;0;0;0;0;1.6;57.6;48;48;49.152;-30.72;30.72;46.08;0.9237604310000002;1555.1999999999998;-172.8;259.2;5.196152423;174.5879049;54.55872029;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x200";"V";32;0;200;0;200;0;0;0;0;0;1.6;64;53.33333333000001;53.33333333000001;54.61333333;-34.13333333;34.13333333;51.2;0.9237604310000002;2133.333333;-213.3333333;320;5.773502692;196.43323749999996;61.38538671;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x230";"V";32;0;230;0;230;0;0;0;0;0;1.6;73.6;61.33333333;61.33333333;62.805333329999996;-39.25333333;39.25333333;58.88;0.9237604310000002;3244.533333;-282.1333333;423.2;6.639528095999999;229.2012373;71.62538667;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x250";"V";32;0;250;0;250;0;0;0;0;0;1.6;80;66.66666667;66.66666667;68.26666667;-42.66666667;42.66666667;64;0.9237604310000002;4166.666667;-333.3333333;500.00000000000006;7.2168783649999995;251.04657070000002;78.45205333;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x280";"V";32;0;280;0;280;0;0;0;0;0;1.6;89.6;74.66666667;74.66666667;76.45866667;-47.78666667;47.78666667;71.68;0.9237604310000002;5853.866667;-418.1333333;627.2;8.082903769;283.8145707;88.69205333;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 32x300";"V";32;0;300;0;300;0;0;0;0;0;1.6;96;80;80;81.92;-51.2;51.2;76.8;0.9237604310000002;7200;-480;720;8.660254038;305.659904;95.51872;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x100";"V";36;0;100;0;100;0;0;0;0;0;1.8000000000000003;36;30;30;38.88;-21.6;21.6;32.4;1.039230485;300;-60;90;2.886751346;120.25950479999999;33.40541799;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x125";"V";36;0;125;0;125;0;0;0;0;0;1.8000000000000003;45;37.5;37.5;48.599999999999994;-27;27;40.5;1.039230485;585.9375;-93.75;140.625;3.6084391819999997;159.1293553;44.2025987;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x150";"V";36;0;150;0;150;0;0;0;0;0;1.8000000000000003;54;45;45;58.32;-32.4;32.4;48.6;1.039230485;1012.5;-135;202.5;4.330127019;198.0082097;55.00228048;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x180";"V";36;0;180;0;180;0;0;0;0;0;1.8000000000000003;64.8;54;54;69.984;-38.88;38.88;58.32;1.039230485;1749.6;-194.4;291.6;5.196152423;244.66407459999996;67.96224295;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x200";"V";36;0;200;0;200;0;0;0;0;0;1.8000000000000003;72;60;60;77.76;-43.2;43.2;64.8;1.039230485;2400;-240;360;5.773502692;275.7680659;76.60224052;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x230";"V";36;0;230;0;230;0;0;0;0;0;1.8000000000000003;82.80000000000001;69;69;89.424;-49.68;49.68;74.52;1.039230485;3650.1;-317.4;476.1;6.639528095999999;322.4240641;89.56224004;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x250";"V";36;0;250;0;250;0;0;0;0;0;1.8000000000000003;90;75;75;97.19999999999999;-54;54;81;1.039230485;4687.5;-375;562.5;7.2168783649999995;353.528064;98.20224001;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x280";"V";36;0;280;0;280;0;0;0;0;0;1.8000000000000003;100.8;84.00000000000001;84.00000000000001;108.864;-60.48;60.48;90.72;1.039230485;6585.6;-470.4;705.6;8.082903769;400.1840639999999;111.16224;0;0.49;0.49;0.76;2
;"Japan";"FL";"FL 36x300";"V";36;0;300;0;300;0;0;0;0;0;1.8000000000000003;108;90;90;116.64;-64.8;64.8;97.2;1.039230485;8100;-540;810;8.660254038;431.28806399999996;119.80224;0;0.49;0.49;0.76;2
;"Japan";"BCP";"Box-400x400x16x56";"[]";400;16;400;16;400;16;55.99999999999999;0;0;0;20;232.57486315913923;116.2874315795696;116.2874315795696;55227.14280448338;-2761.3571402241687;2761.3571402241687;3276.715362824942;15.409725434299789;55227.14280448338;-2761.3571402241687;3276.715362824942;15.409725434299789;93380.71463250183;4485.928008090888;4319908309.037104;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-400x400x19x66.5";"[]";400;19;400;19;400;19;66.5;0;0;0;20;270.9668968767549;135.48344843837745;135.48344843837745;62795.62713059594;-3139.7813565297965;3139.7813565297965;3767.6949066380116;15.223222048308477;62795.62713059594;-3139.7813565297965;3767.6949066380116;15.223222048308477;108345.10964178377;5179.999783803161;4954947665.397835;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-400x400x22x77";"[]";400;22;400;22;400;22;77;0;0;0;20;307.7118506602476;153.8559253301238;153.8559253301238;69528.48446341848;-3476.4242231709236;3476.4242231709236;4220.441096454379;15.031740523544576;69528.48446341848;-3476.4242231709236;4220.441096454379;15.031740523544576;122309.81023815439;5825.264342878767;5535272338.394366;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-400x400x25x87.5";"[]";400;25;400;25;400;25;87.5;0;0;0;20;342.80972450961724;171.40486225480862;171.40486225480862;75444.63685735456;-3772.2318428677277;3772.2318428677277;4635.255234066528;14.835002358064465;75444.63685735456;-3772.2318428677277;4635.255234066528;14.835002358064465;135196.06470419222;6420.666971211658;6060867205.860555;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-450x450x16x56";"[]";450;16;450;16;450;16;55.99999999999999;0;0;0;22.5;264.5748631591392;132.2874315795696;132.2874315795696;80635.29918001927;-3583.7910746675225;3583.7910746675225;4225.352520722784;17.457751638249544;80635.29918001927;-3583.7910746675225;4225.352520722784;17.457751638249544;134669.86800953659;5769.369801275023;5578190329.240459;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-450x450x19x66.5";"[]";450;19;450;19;450;19;66.5;0;0;0;22.5;308.9668968767549;154.48344843837745;154.48344843837745;92196.59143593238;-4097.626286041438;4097.626286041438;4878.312148829895;17.274339753498026;92196.59143593238;-4097.626286041438;4878.312148829895;17.274339753498026;156839.48219387376;6687.159768735379;6426839859.917345;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-450x450x22x77";"[]";450;22;450;22;450;22;77;0;0;0;22.5;351.7118506602476;175.8559253301238;175.8559253301238;102683.71567898359;-4563.720696843714;4563.720696843714;5488.020723104996;17.086664295850685;102683.71567898359;-4563.720696843714;5488.020723104996;17.086664295850685;177814.8794348555;7550.854611866148;7213885614.672206;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-450x450x25x87.5";"[]";450;25;450;25;450;25;87.5;0;0;0;22.5;392.80972450961724;196.40486225480862;196.40486225480862;112117.64047253894;-4983.006243223952;4983.006243223952;6054.779545340568;16.894520078923613;112117.64047253894;-4983.006243223952;6054.779545340568;16.894520078923613;197506.42516325245;8359.424955774934;7939383671.412781;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-450x450x28x98";"[]";450;27.999999999999996;450;27.999999999999996;450;27.999999999999996;98;0;0;0;22.5;432.26051842486385;216.13025921243192;216.13025921243192;120519.7075481652;-5356.431446585119;5356.431446585119;6578.889917329104;16.69768445021776;120519.7075481652;-5356.431446585119;6578.889917329104;16.69768445021776;215825.7173814587;9111.811936581134;8603307180.006517;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-450x450x32x112";"[]";450;32;450;32;450;32;111.99999999999999;0;0;0;22.5;482.2994526365569;241.14972631827845;241.14972631827845;130154.93731736265;-5784.663880771673;5784.663880771673;7211.882481459758;16.42751752440674;130154.93731736265;-5784.663880771673;7211.882481459758;16.42751752440674;237967.36930452575;10025.723343086896;9392578433.338272;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-500x500x16x56";"[]";500;16;500;16;500;16;55.99999999999999;0;0;0;25;296.5748631591392;148.2874315795696;148.2874315795696;112822.64134504453;-4512.90565380178;4512.90565380178;5293.989678620637;19.504326669646854;112822.64134504453;-4512.90565380178;5293.989678620637;19.504326669646854;186540.1128753163;7212.768068178866;6996351097.014935;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-500x500x19x66.5";"[]";500;19;500;19;500;19;66.5;0;0;0;25;346.96689687675484;173.48344843837742;173.48344843837742;129554.14195222818;-5182.165678089126;5182.165678089126;6131.42939102178;19.323314846790094;129554.14195222818;-5182.165678089126;6131.42939102178;19.323314846790094;217850.45736839058;8384.238882481939;8088507662.979379;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-500x500x22x77";"[]";500;22;500;22;500;22;77;0;0;0;25;395.7118506602476;197.8559253301238;197.8559253301238;144943.34502780173;-5797.733801112068;5797.733801112068;6920.600349755612;19.138575582559454;144943.34502780173;-5797.733801112068;6920.600349755612;19.138575582559454;247757.06013615848;9496.309482888873;9112123850.048344;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-500x500x25x87.5";"[]";500;25;500;25;500;25;87.5;0;0;0;25;442.8097245096172;221.4048622548086;221.4048622548086;159013.2656440935;-6360.530625763739;6360.530625763739;7661.80385661461;18.949951529675783;159013.2656440935;-6360.530625763739;7661.80385661461;18.949951529675783;276159.678939947;10547.973504470414;10067319435.61986;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-500x500x28x98";"[]";500;27.999999999999996;500;27.999999999999996;500;27.999999999999996;98;0;0;0;25;488.2605184248638;244.1302592124319;244.1302592124319;171787.29204163273;-6871.491681665308;6871.491681665308;8355.341213391262;18.757273587024955;171787.29204163273;-6871.491681665308;8355.341213391262;18.757273587024955;302958.9586022301;11538.194619838867;10954131164.540558;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-500x500x32x112";"[]";500;32;500;32;500;32;111.99999999999999;0;0;0;25;546.2994526365568;273.1497263182784;273.1497263182784;186844.61463697316;-7473.784585478925;7473.784585478925;9206.43111305115;18.493746900993962;186844.61463697316;-7473.784585478925;9206.43111305115;18.493746900993962;336028.03925778833;12761.07269334483;12030100426.214966;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-500x500x36x126";"[]";500;36;500;36;500;36;126;0;0;0;25;601.4102447431422;300.7051223715711;300.7051223715711;199697.76610160948;-7987.910644064378;7987.910644064378;9974.031034814963;18.222216089176328;199697.76610160948;-7987.910644064378;9974.031034814963;18.222216089176328;365845.4079377715;13870.253234954907;12984171985.24329;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x16x56";"[]";550;16;550;16;550;16;55.99999999999999;0;0;0;27.5;328.5748631591392;164.2874315795696;164.2874315795696;152589.1692995592;-5548.697065438515;5548.697065438515;6482.6268365184915;21.54987158251001;152589.1692995592;-5548.697065438515;6482.6268365184915;21.54987158251001;250191.36821722117;8816.133529830686;8574420207.648051;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x19x66.5";"[]";550;19;550;19;550;19;66.5;0;0;0;27.5;384.9668968767549;192.48344843837745;192.48344843837745;175818.2786794838;-6393.391951981228;6393.391951981228;7527.046633213682;21.37077730513963;175818.2786794838;-6393.391951981228;7527.046633213682;21.37077730513963;292802.83118154586;10271.256539961543;9940004551.95299;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x22x77";"[]";550;22;550;22;550;22;77;0;0;0;27.5;439.71185066024765;219.85592533012382;219.85592533012382;197407.37250987344;-7178.4499094499415;7178.4499094499415;8518.179976406245;21.188372472162214;197407.37250987344;-7178.4499094499415;8518.179976406245;21.188372472162214;333785.89915392065;11661.660505408148;11230074139.313251;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x25x87.5";"[]";550;25;550;25;550;25;87.5;0;0;0;27.5;492.80972450961724;246.40486225480862;246.40486225480862;217381.51237201877;-7904.782268073409;7904.782268073409;9456.328167888669;21.002532644743678;217381.51237201877;-7904.782268073409;9456.328167888669;21.002532644743678;373029.9083756377;12986.359703874554;12444805536.52306;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x28x98";"[]";550;27.999999999999996;550;27.999999999999996;550;27.999999999999996;98;0;0;0;27.5;544.2605184248638;272.1302592124319;272.1302592124319;235766.13301541132;-8573.313927833138;8573.313927833138;10341.792509453424;20.81312510256394;235766.13301541132;-8573.313927833138;10341.792509453424;20.81312510256394;410424.818254773;14244.338623038719;13584293296.608137;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x32x112";"[]";550;32;550;32;550;32;111.99999999999999;0;0;0;27.5;610.2994526365569;305.1497263182784;305.1497263182784;257851.03511454095;-9376.401276892397;9376.401276892397;11440.979744642544;20.554785514865394;257851.03511454095;-9376.401276892397;11440.979744642544;20.554785514865394;457220.0218947852;15816.052704718326;14986592156.000813;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x36x126";"[]";550;36;550;36;550;36;126;0;0;0;27.5;673.4102447431424;336.7051223715712;336.7051223715712;277218.2553053291;-10080.663829284693;10080.663829284693;12447.756646672824;20.28948639014621;277218.2553053291;-10080.663829284693;12447.756646672824;20.28948639014621;500279.7321732166;17264.767128265477;16255030501.340918;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-550x550x40x140";"[]";550;40;550;40;550;40;140;0;0;0;27.5;733.5928947446201;366.79644737231007;366.79644737231007;293931.1792783091;-10688.40651921124;10688.40651921124;13362.837412385708;20.016828598982205;293931.1792783091;-10688.40651921124;13362.837412385708;20.016828598982205;539355.6707607667;18587.893528945428;17389312666.937767;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x16x56";"[]";600;16;600;16;600;16;55.99999999999999;0;0;0;30;360.57486315913917;180.28743157956958;180.28743157956958;200734.8830435625;-6691.162768118749;6691.162768118749;7791.2639944163375;23.594658774604472;200734.8830435625;-6691.162768118749;7791.2639944163375;23.594658774604472;326823.5817811954;10579.47367323193;10312418381.374456;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x19x66.5";"[]";600;19;600;19;600;19;66.5;0;0;0;30;422.96689687675484;211.48344843837742;211.48344843837742;231939.00161769835;-7731.300053923278;7731.300053923278;9065.16387540557;23.41713190092184;231939.00161769835;-7731.300053923278;9065.16387540557;23.41713190092184;383121.47295442666;12348.2264646476;11981368360.115225;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x22x77";"[]";600;22;600;22;600;22;77;0;0;0;30;483.7118506602476;241.8559253301238;241.8559253301238;261175.79812519753;-8705.859937506582;8705.859937506582;10280.75960305687;23.236627796317357;261175.79812519753;-8705.859937506582;10280.75960305687;23.236627796317357;437551.1081938572;14046.930305741971;13567798810.48;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x25x87.5";"[]";600;25;600;25;600;25;87.5;0;0;0;30;542.8097245096171;271.40486225480856;271.40486225480856;288472.38065631356;-9615.746021877118;9615.746021877118;11438.352479162713;23.053045612279764;288472.38065631356;-9615.746021877118;11438.352479162713;23.053045612279764;489991.5339259817;15674.617936301285;15071936978.222391;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x28x98";"[]";600;27.999999999999996;600;27.999999999999996;600;27.999999999999996;98;0;0;0;30;600.2605184248637;300.1302592124319;300.1302592124319;313856.23046949983;-10461.874348983329;10461.874348983329;12538.243805515573;22.866278448951125;313856.23046949983;-10461.874348983329;12538.243805515573;22.866278448951125;540322.211834593;17230.29282438069;16493929732.068262;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x32x112";"[]";600;32;600;32;600;32;111.99999999999999;0;0;0;30;674.2994526365568;337.1497263182784;337.1497263182784;344774.1987500648;-11492.473291668826;11492.473291668826;13915.528376233924;22.612104057779764;344774.1987500648;-11492.473291668826;13915.528376233924;22.612104057779764;603941.0233954656;19190.734848836797;18262257080.83435;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x36x126";"[]";600;36;600;36;600;36;126;0;0;0;30;745.4102447431422;372.7051223715711;372.7051223715711;372408.37256833725;-12413.612418944575;12413.612418944575;15191.482258530668;22.351776156209667;372408.37256833725;-12413.612418944575;15191.482258530668;22.351776156209667;663315.4380553077;21018.845133346607;19884671193.388203;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-600x600x40x140";"[]";600;40;600;40;600;40;140;0;0;0;30;813.5928947446201;406.79644737231007;406.79644737231007;396826.9885990576;-13227.56628663525;13227.56628663525;16366.819649247249;22.08498085248713;396826.9885990576;-13227.56628663525;16366.819649247249;22.08498085248713;718169.5493363495;22712.074048961702;21360993469.48921;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x16x56";"[]";650;16;650;16;650;16;55.99999999999999;0;0;0;32.5;392.57486315913917;196.28743157956958;196.28743157956958;258059.7825770559;-7940.301002370949;7940.301002370949;9219.901152314193;25.63887231572312;258059.7825770559;-7940.301002370949;9219.901152314193;25.63887231572312;417636.7183507471;12502.793877892636;12210360546.474472;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x19x66.5";"[]";650;19;650;19;650;19;66.5;0;0;0;32.5;460.96689687675484;230.48344843837742;230.48344843837742;298866.3107668727;-9195.886485134542;9195.886485134542;10745.781117597464;25.462650673361786;298866.3107668727;-9195.886485134542;10745.781117597464;25.462650673361786;490231.29509840545;14615.15860747617;14212626570.15598;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x22x77";"[]";650;22;650;22;650;22;77;0;0;0;32.5;527.7118506602476;263.85592533012385;263.85592533012385;337348.62187377515;-10379.957596116157;10379.957596116157;12208.339229707492;25.283724334134366;337348.62187377515;-10379.957596116157;12208.339229707492;25.283724334134366;560702.4951122517;16652.135464291005;16125343541.40757;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x25x87.5";"[]";650;25;650;25;650;25;87.5;0;0;0;32.5;592.8097245096171;296.4048622548086;296.4048622548086;373535.87049697916;-11493.411399907049;11493.411399907049;13607.876790436756;25.102009928660763;373535.87049697916;-11493.411399907049;13607.876790436756;25.102009928660763;628919.1715712104;18612.773714768402;17948784065.219025;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x28x98";"[]";650;27.999999999999996;650;27.999999999999996;650;27.999999999999996;98;0;0;0;32.5;656.2605184248638;328.1302592124319;328.1302592124319;407457.5844038997;-12537.156443196911;12537.156443196911;14944.695101577738;24.91741953306144;407457.5844038997;-12537.156443196911;14944.695101577738;24.91741953306144;694750.4250087977;20496.09405517235;19683142337.57389;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x32x112";"[]";650;32;650;32;650;32;111.99999999999999;0;0;0;32.5;738.299452636557;369.1497263182785;369.1497263182785;449214.10554354644;-13821.972478262964;13821.972478262964;16630.077007825323;24.66666406528467;449214.10554354644;-13821.972478262964;16630.077007825323;24.66666406528467;778589.5453053053;22885.17446790351;21857250094.027126;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x36x126";"[]";650;36;650;36;650;36;126;0;0;0;32.5;817.4102447431424;408.7051223715712;408.7051223715712;487068.1178906355;-14986.711319711858;14986.711319711858;18205.20787038852;24.410395342172453;487068.1178906355;-14986.711319711858;18205.20787038852;24.410395342172453;857649.6162781037;25132.563825850986;23873313415.01964;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-650x650x40x140";"[]";650;40;650;40;650;40;140;0;0;0;32.5;893.5928947446201;446.79644737231007;446.79644737231007;521092.70910411456;-16033.621818588137;16033.621818588137;19670.801886108806;24.148360183649935;521092.70910411456;-16033.621818588137;19670.801886108806;24.148360183649935;931627.9937608689;27235.7511845505;25731265794.388664;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x16x56";"[]";700;16;700;16;700;16;55.99999999999999;0;0;0;35;424.5748631591392;212.2874315795696;212.2874315795696;325363.86790003814;-9296.110511429657;9296.110511429657;10768.538310212036;27.682641085643343;325363.86790003814;-9296.110511429657;10768.538310212036;27.682641085643343;523830.7533263827;14586.098105240437;14268257725.457008;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x19x66.5";"[]";700;19;700;19;700;19;66.5;0;0;0;35;498.9668968767549;249.48344843837745;249.48344843837745;377550.2061270064;-10787.148746485895;10787.148746485895;12568.89835978935;27.507523258156702;377550.2061270064;-10787.148746485895;12568.89835978935;27.507523258156702;615557.2367069273;17072.06034896378;16633799610.31327;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x22x77";"[]";700;22;700;22;700;22;77;0;0;0;35;571.7118506602477;285.85592533012385;285.85592533012385;427025.84375560586;-12200.73839301731;12200.73839301731;14300.918856358096;27.32992768017093;427025.84375560586;-12200.73839301731;14300.918856358096;27.32992768017093;704889.9269163279;19477.28837827495;18902742525.682045;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x25x87.5";"[]";700;25;700;25;700;25;87.5;0;0;0;35;642.8097245096172;321.4048622548086;321.4048622548086;473821.98189401475;-13537.770911257561;13537.770911257561;15964.901101710786;27.14978428924468;473821.98189401475;-13537.770911257561;15964.901101710786;27.14978428924468;791687.5567731844;21800.846293675575;21075399827.628124;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x28x98";"[]";700;27.999999999999996;700;27.999999999999996;700;27.999999999999996;98;0;0;0;35;712.2605184248638;356.1302592124319;356.1302592124319;517970.1948186105;-14799.148423388868;14799.148423388868;17561.146397639877;26.9670195100246;517970.1948186105;-14799.148423388868;17561.146397639877;26.9670195100246;875808.9680962375;24041.770418362095;23152008593.74572;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x32x112";"[]";700;32;700;32;700;32;111.99999999999999;0;0;0;35;802.299452636557;401.1497263182785;401.1497263182785;572770.7554949849;-16364.878728428137;16364.878728428137;19584.62563941671;26.71912119526666;572770.7554949849;-16364.878728428137;19584.62563941671;26.71912119526666;983564.5673009282;26899.414573074468;25771690520.216946;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x36x126";"[]";700;36;700;36;700;36;126;0;0;0;35;889.4102447431425;444.70512237157124;444.70512237157124;622997.4912722227;-17799.928322063504;17799.928322063504;21488.933482246375;26.466230169006;622997.4912722227;-17799.928322063504;21488.933482246375;26.466230169006;1085980.299598243;29605.984228259025;28221128785.42871;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-700x700x40x140";"[]";700;40;700;40;700;40;140;0;0;0;35;973.5928947446203;486.7964473723101;486.7964473723101;668728.3407934792;-19106.52402267083;19106.52402267083;23274.78412297034;26.208137985506873;668728.3407934792;-19106.52402267083;23274.78412297034;26.208137985506873;1182727.4353065772;32159.00583150775;30500362742.62253;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-750x750x19x66.5";"[]";750;19;750;19;750;19;66.5;0;0;0;37.5;536.9668968767548;268.4834484383774;268.4834484383774;468940.68769809965;-12505.085005282655;12505.085005282655;14534.515601981242;29.551885914661955;468940.68769809965;-12505.085005282655;14534.515601981242;29.551885914661955;760524.2541143446;19718.937273562886;19244902973.035717;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-750x750x22x77";"[]";750;22;750;22;750;22;77;0;0;0;37.5;615.7118506602477;307.85592533012385;307.85592533012385;531307.4637706897;-14168.199033885057;14168.199033885057;16558.49848300873;29.37542794325388;531307.4637706897;-14168.199033885057;16558.49848300873;29.37542794325388;871763.3086290293;22522.398488337985;21900021846.141853;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-750x750x25x87.5";"[]";750;25;750;25;750;25;87.5;0;0;0;37.5;692.8097245096172;346.4048622548086;346.4048622548086;590580.7148474208;-15748.819062597884;15748.819062597884;18509.42541298485;29.196624412852483;590580.7148474208;-15748.819062597884;18509.42541298485;29.196624412852483;980171.5013605164;25238.850441620227;24451824966.366417;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-750x750x28x98";"[]";750;27.999999999999996;750;27.999999999999996;750;27.999999999999996;98;0;0;0;37.5;768.2605184248638;384.1302592124319;384.1302592124319;646794.0617136331;-17247.84164569688;17247.84164569688;20387.597693702075;29.015412857488265;646794.0617136331;-17247.84164569688;20387.597693702075;29.015412857488265;1085597.494191001;27867.343648731978;26900588362.391632;0.34;0.34;0.76;2
;"Japan";"BCP";"Box-750x750x32x112";"[]";750;32;750;32;750;32;111.99999999999999;0;0;0;37.5;866.2994526365569;433.14972631827845;433.14972631827845;717044.1486043812;-19121.177296116828;19121.177296116828;22779.174271008134;28.769938138360146;717044.1486043812;-19121.177296116828;22779.174271008134;28.769938138360146;1221265.3705745402;31233.48887551031;30005671461.37981;0.34;0.34;0.76;2
