"#";"country";"family";"name";"shape";"h";"t_web";"b_upper";"t_upper";"b_lower";"t_lower";"r";"ex";"ey";"ez";"zs";"A";"A_y";"A_z";"Iy";"Wy_u";"Wy_l";"Wply";"i_y";"Iz";"Wz";"Wplz";"i_z";"It";"Wt";"Cw";"alpha_y";"alpha_z";"alpha_lt";"Product"
"#";"-";"-";"-";"-";"mm";"mm";"mm";"mm";"mm";"mm";"mm";"cm";"cm";"cm";"cm";"cm2";"cm2";"cm2";"cm4";"cm3";"cm3";"cm3";"cm";"cm4";"cm3";"cm3";"cm";"cm4";"cm3";"cm6";"-";"-";"-";"-"
;"Japan";"H(const)";"H-450x250x12x22x13";"H";450;12;250;22;250;22;13;0;0;0;22.5;160.1707084;91.66666667;48.77559035;57693.2362;-2564.143831;2564.143831;2877.536123;18.97889408;5736.249411;-458.8999529;703.4076832;5.9844255;208.9622736;69.70319528;2623729.167;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-450x250x12x25x13";"H";450;12;250;25;250;25;13;0;0;0;22.5;174.4507084;104.1666667;49.12559035;63474.05829;-2821.069257;2821.069257;3164.84291;19.0748778;6517.413011;-521.3930409;796.9416832;6.112252023;290.1195834;87.41473276;2939860.026;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-450x250x12x28x13";"H";450;12;250;28;250;28;13;0;0;0;22.5;188.73070840000003;116.66666669999998;49.47559035;69083.7815;-3070.390289;3070.390289;3447.865698;19.13228167;7298.576611;-583.8861289;890.4756832;6.218674143;391.7573175;107.6289904;3246322.917;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x200x9x12x13";"H";500;9;200;12;200;12;13;0;0;0;25;92.29070842;40;40.40892368;37473.69917;-1498.947967;1498.947967;1715.101602;20.15042884;1603.7731799999997;-160.377318;250.7130769;4.168621686;38.81539238;20.82540338;952576;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-500x200x9x16x13";"H";500;9;200;16;200;16;13;0;0;0;25;107.5707084;53.33333333000001;40.97559035;45957.19933;-1838.287973;1838.287973;2075.129319;20.66949009;2137.057914;-213.7057914;330.5510769;4.457189835;71.395438;31.151904089999995;1249365.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-500x200x9x19x13";"H";500;9;200;19;200;19;13;0;0;0;25;119.0307084;63.33333333;41.40059035;52132.1469;-2085.285876;2085.285876;2341.139106;20.9277865;2537.021464;-253.7021464;390.4295769;4.616709644;108.4526473;41.50744148;1465286.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-500x200x9x22x13";"H";500;9;200;22;200;22;13;0;0;0;25;130.4907084;73.33333333;41.82559035;58148.51999999999;-2325.9408;2325.9408;2603.710894;21.10957736;2936.985014;-293.6985014;450.3080769;4.744179044;158.3242475;53.96470168;1675549.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-500x200x12x19x13";"H";500;12;200;19;200;19;13;0;0;0;25;132.8907084;63.33333333;53.42559035;54597.4251;-2183.897004;2183.897004;2501.222106;20.26930101;2541.222478;-254.1222478;397.9236832;4.372945208;126.2434115;47.16053811;1465286.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-500x200x12x22x13";"H";500;12;200;22;200;22;13;0;0;0;25;144.1707084;73.33333333;53.77559035000001;60518.99040000001;-2420.759616;2420.759616;2759.662894;20.48836587;2941.136078;-294.1136078;457.7076832;4.516677093;176.3489403;58.82442036;1675549.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-500x200x12x25x13";"H";500;12;200;25;200;25;13;0;0;0;25;155.4507084;83.33333333;54.12559035;66286.50643;-2651.460257;2651.460257;3014.719681;20.64981725;3341.0496779999994;-334.1049678;517.4916832;4.636018003;240.91625;72.58947973;1880208.333;0.21;0.34;0.49;2
;"Japan";"H(const)";"H-500x250x9x16x13";"H";500;9;250;16;250;16;13;0;0;0;25;123.5707084;66.66666667;40.97559035;55330.85266;-2213.234107;2213.234107;2462.329319;21.16049941;4170.391247;-333.6312998;510.5510769;5.809391327;85.04877133;37.10925014;2440166.667;0.21;0.34;0.34;2
;"Japan";"H(const)";"H-500x250x9x19x13";"H";500;9;250;19;250;19;13;0;0;0;25;138.0307084;79.16666667;41.40059035;63127.51024000001;-2525.100409;2525.100409;2798.089106;21.3856016;4951.604797;-396.1283838;604.1795769;5.989424973;131.3159807;50.25779008;2861887.37;0.21;0.34;0.34;2
